assessment cdm type,Type,map category,csv key,Korean_Context,English_Context,semantic_allowed,Format/Range,0,1,2,3,4,5,6,7,8,9,10,11
CoreQ,B,basic_questionnaire,PHx_Dementia,질환을 앓고 있거나 과거에 앓은 적이 있습니까' - 치매/노망,Personal Medical History - 'Dementia',0,0-1,No,Yes,,,,,,,,,,
CoreQ,B,basic_questionnaire,PHx_Alcoholism,질환을 앓고 있거나 과거에 앓은 적이 있습니까' - 알코올 중독증,Personal Medical History - 'Alcoholism' / 'Alcohol use disorder',0,0-1,No,Yes,,,,,,,,,,
CoreQ,B,basic_questionnaire,PHx_Cancer,질환을 앓고 있거나 과거에 앓은 적이 있습니까' - 암,Personal Medical History - 'Cancer',0,0-1,No,Yes,,,,,,,,,,
CoreQ,B,basic_questionnaire,PHx_Renal,질환을 앓고 있거나 과거에 앓은 적이 있습니까' - 신부전 (신장질환),Personal Medical History - 'Renal failure (Kidney disease)',0,0-1,No,Yes,,,,,,,,,,
CoreQ,B,basic_questionnaire,PHx_Pulmonary,질환을 앓고 있거나 과거에 앓은 적이 있습니까' - 만성 폐질환,Personal Medical History - 'Chronic lung disease',0,0-1,No,Yes,,,,,,,,,,
CoreQ,B,basic_questionnaire,PHx_HTN,질환을 앓고 있거나 과거에 앓은 적이 있습니까' - 고혈압,Personal Medical History - 'High blood pressure',0,0-1,No,Yes,,,,,,,,,,
CoreQ,B,basic_questionnaire,PHx_Thyroid,질환을 앓고 있거나 과거에 앓은 적이 있습니까' - 갑상선질환,Personal Medical History - 'Thyroid disease',0,0-1,No,Yes,,,,,,,,,,
CoreQ,B,basic_questionnaire,PHx_Liver,질환을 앓고 있거나 과거에 앓은 적이 있습니까' - 간염,Personal Medical History - 'Hepatitis',0,0-1,No,Yes,,,,,,,,,,
CoreQ,B,basic_questionnaire,PHx_DM,질환을 앓고 있거나 과거에 앓은 적이 있습니까' - 당뇨,Personal Medical History - 'Diabetes',0,0-1,No,Yes,,,,,,,,,,
CoreQ,B,basic_questionnaire,PHx_Cardiovascular,질환을 앓고 있거나 과거에 앓은 적이 있습니까' - 심장질환,Personal Medical History - 'Heart Disease',0,0-1,No,Yes,,,,,,,,,,
CoreQ,B,basic_questionnaire,PHx_NasalFx,질환을 앓고 있거나 과거에 앓은 적이 있습니까' - 코뼈가 부러진 적,Personal Medical History - 'History of nasal bone fracture' / 'Broken nose',0,0-1,No,Yes,,,,,,,,,,
CoreQ,B,basic_questionnaire,PHx_Sinusitis,질환을 앓고 있거나 과거에 앓은 적이 있습니까' - 축농증 or/and 알러지성비염,Personal Medical History - 'Sinusitis and/or allergic rhinitis',0,0-1,No,Yes,,,,,,,,,,
CoreQ,B,basic_questionnaire,PHx_GERD_ulcer,질환을 앓고 있거나 과거에 앓은 적이 있습니까' - 위궤양 or/and 위식도역류,Personal Medical History - 'Gastric ulcer and/or gastroesophageal reflux disease,0,0-1,No,Yes,,,,,,,,,,
CoreQ,B,basic_questionnaire,PHx_Psy,질환을 앓고 있거나 과거에 앓은 적이 있습니까' - 정신과적 질환/ 우울증 / 불안증 / 공황장애,Personal Medical History - 'Psychiatric disorder / Depression / Anxiety / Panic disorder',0,0-1,No,Yes,,,,,,,,,,
Demographics,B,basic_questionnaire,Habit_Caffein,카페인 섭취에 관한 질문,caffeine intake',1,0-1,No/전혀 마시지 않는다,Yes/마신다,,,,,,,,,,
Demographics,B,basic_questionnaire,Habit_Alcohol,음주에 대한 질문,drinking alcohol',1,0-1,No/전혀 마시지 않는다,Yes/마신다,,,,,,,,,,
Demographics,B,basic_questionnaire,Habit_Smoking,흡연에 대한 질문,smoking',1,0-2,No/전혀 피우지 않는다,Past smoker/금연했다면,Current smoker/피운다,,,,,,,,,
Demographics,B,basic_questionnaire,Habit_Workout,운동에 대한 질문,exercise',1,0-1,No/운동하지 않는다,Yes/운동한다,,,,,,,,,,
PSG,B,psg,Diagnosis_etc,"Polysomnography Report - II. Diagnosis 의 #으로 시작하는 모든 문장들 (I. Result, III. 사이)",,1,Text 서술식,,,,,,,,,,,,
CoreQ,A,psqi,PSQI_01_BedIn_HH_week,"PSQI - (주중/주말 묻는 버전) 지난 한 달 동안 , 몇 시에 잠자리에 들었습니까? 주중 (시간)",,0,00-24,,,,,,,,,,,,
CoreQ,A,psqi,PSQI_01_BedIn_MM_week,"PSQI - (주중/주말 묻는 버전) 지난 한 달 동안 , 몇 시에 잠자리에 들었습니까? 주중 (분)",,0,00-59,,,,,,,,,,,,
CoreQ,A,psqi,PSQI_01_BedIn_HH_free,"PSQI - (주중/주말 묻는 버전) 지난 한 달 동안 , 몇 시에 잠자리에 들었습니까? 주말 (시간)",,0,00-24,,,,,,,,,,,,
CoreQ,A,psqi,PSQI_01_BedIn_MM_free,"PSQI - (주중/주말 묻는 버전) 지난 한 달 동안 , 몇 시에 잠자리에 들었습니까? 주말 (분)",,0,00-59,,,,,,,,,,,,
